train/value_loss,train/explained_variance,time/fps,train/std,train/n_updates,train/learning_rate,train/policy_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,train/reward,time/iterations
0.9945076704025269,-0.04627418518066406,25,1.0040532350540161,99,0.0007,23.12946319580078,19,-41.26862335205078,500,-0.25316036,100
1.4303028583526611,-0.0335460901260376,25,1.0071568489074707,199,0.0007,-33.6789665222168,38,-41.350067138671875,1000,-2.0155141,200
52.60991287231445,0.10607951879501343,30,1.007895588874817,299,0.0007,-300.4794921875,49,-41.374977111816406,1500,6.242099,300
8.478711128234863,-0.5495524406433105,32,1.0101624727249146,399,0.0007,110.88919830322266,61,-41.44083023071289,2000,-0.024300069,400
325.86004638671875,-0.023105382919311523,35,1.0105268955230713,499,0.0007,678.3399047851562,70,-41.44482421875,2500,-12.936599,500
19.749357223510742,-0.13640189170837402,37,1.010054111480713,599,0.0007,188.99942016601562,79,-41.43445587158203,3000,-0.37004158,600
1.5378124713897705,-0.2757805585861206,40,1.0109562873840332,699,0.0007,-36.384498596191406,87,-41.46249008178711,3500,-3.5970614,700
4.4014787673950195,-0.1977376937866211,41,1.0105400085449219,799,0.0007,58.17354202270508,96,-41.44861602783203,4000,-2.775399,800
20.957454681396484,0.0,41,1.013863205909729,899,0.0007,147.32923889160156,109,-41.54469299316406,4500,-0.08872889,900
7.855324745178223,0.011091053485870361,41,1.0136243104934692,999,0.0007,-109.4998550415039,121,-41.5334587097168,5000,-9.265718,1000
115.0903549194336,-0.022028684616088867,41,1.0124173164367676,1099,0.0007,-440.33197021484375,132,-41.499908447265625,5500,5.3692803,1100
16.145370483398438,0.04097342491149902,42,1.0137971639633179,1199,0.0007,-147.42233276367188,141,-41.53081130981445,6000,0.37640905,1200
7.507948398590088,0.0,42,1.0122474431991577,1299,0.0007,20.456562042236328,151,-41.48826599121094,6500,-5.641052,1300
9.450398445129395,-0.003189563751220703,42,1.0132756233215332,1399,0.0007,106.625244140625,163,-41.51686096191406,7000,2.3809774,1400
19.165645599365234,0.0,42,1.0134817361831665,1499,0.0007,151.7996063232422,177,-41.53016662597656,7500,5.6661134,1500
1.8642933368682861,-0.0011179447174072266,42,1.0183757543563843,1599,0.0007,27.5084285736084,190,-41.66040802001953,8000,1.6326531,1600
63.24323654174805,-1.1920928955078125e-07,40,1.0172417163848877,1699,0.0007,-223.4749298095703,212,-41.626495361328125,8500,10.440912,1700
0.6817000508308411,0.0026918649673461914,39,1.015794038772583,1799,0.0007,-25.33490562438965,227,-41.584510803222656,9000,1.747079,1800
2.6840102672576904,0.005301713943481445,39,1.0169483423233032,1899,0.0007,-46.02186965942383,239,-41.620967864990234,9500,-0.09908157,1900
0.5497616529464722,-0.013945698738098145,39,1.015016794204712,1999,0.0007,-1.1074531078338623,252,-41.568138122558594,10000,-0.47129375,2000
22.669811248779297,-2.753734588623047e-05,38,1.014831781387329,2099,0.0007,167.69566345214844,271,-41.553009033203125,10500,1.1407428,2100
24.96451187133789,0.04646933078765869,38,1.014695405960083,2199,0.0007,108.17024230957031,288,-41.55849838256836,11000,-6.7878976,2200
3065.79931640625,-2.384185791015625e-07,37,1.0176106691360474,2299,0.0007,-2132.56201171875,308,-41.64085006713867,11500,3.9808276,2300
9.941913604736328,-0.07530498504638672,36,1.017113447189331,2399,0.0007,95.11619567871094,325,-41.62390899658203,12000,0.7204672,2400
8.37947940826416,6.556510925292969e-07,36,1.0169998407363892,2499,0.0007,-121.57249450683594,346,-41.623451232910156,12500,1.7060814,2500
0.12085878849029541,5.960464477539063e-08,35,1.017027735710144,2599,0.0007,7.165106296539307,362,-41.62392807006836,13000,1.5620807,2600
0.4106453061103821,0.0,35,1.017166256904602,2699,0.0007,-16.332677841186523,383,-41.61927795410156,13500,-1.0353177,2700
115.60169982910156,0.0,34,1.0177265405654907,2799,0.0007,438.21923828125,400,-41.63808822631836,14000,1.5873773,2800
3.627946376800537,0.0,35,1.0170714855194092,2899,0.0007,-77.62088012695312,413,-41.618133544921875,14500,1.2893081,2900
0.41730666160583496,0.0,35,1.01594078540802,2999,0.0007,18.899099349975586,426,-41.58456802368164,15000,0.53582555,3000
4.963723182678223,-0.4862264394760132,35,1.0185459852218628,3099,0.0007,82.66777038574219,439,-41.654380798339844,15500,-0.3970132,3100
18.387325286865234,1.1920928955078125e-07,34,1.0192298889160156,3199,0.0007,-62.8218879699707,461,-41.67302322387695,16000,-1.392674,3200
2.1419618129730225,0.0,34,1.019657850265503,3299,0.0007,-38.927520751953125,476,-41.68332290649414,16500,-0.9049588,3300
20.447742462158203,0.0,34,1.018530011177063,3399,0.0007,100.79776763916016,488,-41.65232467651367,17000,4.6431637,3400
13.994221687316895,1.7881393432617188e-07,34,1.01853609085083,3499,0.0007,145.64356994628906,500,-41.649532318115234,17500,1.6576457,3500
8.061952590942383,0.0,35,1.017322301864624,3599,0.0007,-102.81117248535156,509,-41.620140075683594,18000,0.61698204,3600
40.81047439575195,0.012379944324493408,35,1.0186145305633545,3699,0.0007,248.1179656982422,518,-41.64980697631836,18500,3.5294888,3700
6.587449550628662,1.1920928955078125e-07,36,1.0181266069412231,3799,0.0007,80.19251251220703,526,-41.64837646484375,19000,2.2743635,3800
13.577407836914062,0.0,36,1.0177032947540283,3899,0.0007,-142.4553985595703,537,-41.628780364990234,19500,1.8340092,3900
34.8308219909668,0.0,36,1.0192385911941528,3999,0.0007,-234.9999237060547,549,-41.66799545288086,20000,2.7851348,4000
